Audience View,Date,Aggregation,Audience Size
Your total audience,2026-09-20,Monthly,182000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Projects,"{'name': 'DIY Projects', 'id': '894309586150'}",0.466,0.88
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Stationery,"{'name': 'DIY Stationery', 'id': '902014579881'}",0.241,0.987
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Event,"{'name': 'DIY Event', 'id': '922120925682'}",0.235,1.198
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Techniques and Supplies,"{'name': 'DIY Techniques and Supplies', 'id': '911900736333'}",0.111,0.73
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Bag and Purse,"{'name': 'DIY Bag and Purse', 'id': '954200326838'}",0.103,1.667
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Home and Decorations,"{'name': 'DIY Home and Decorations', 'id': '947657535178'}",0.095,0.853
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,Woodworking,"{'name': 'Woodworking', 'id': '899049071324'}",0.081,0.739
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,Polymer Crafts,"{'name': 'Polymer Crafts', 'id': '946907157789'}",0.067,1.473
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Edible,"{'name': 'DIY Edible', 'id': '896201377663'}",0.066,1.522
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Pottery,"{'name': 'DIY Pottery', 'id': '929616292607'}",0.062,1.13
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Jewelry,"{'name': 'DIY Jewelry', 'id': '905972712093'}",0.025,0.541
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,Beading,"{'name': 'Beading', 'id': '916525081982'}",0.017,0.761
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.737,1.434,DIY Beauty,"{'name': 'DIY Beauty', 'id': '959596817700'}",0.013,1.091
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.716,1.539,Travel Destinations,"{'name': 'Travel Destinations', 'id': '958862518888'}",0.942,1.004
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.716,1.539,Travel Ideas,"{'name': 'Travel Ideas', 'id': '904309328219'}",0.672,1.257
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.716,1.539,Travel Tips,"{'name': 'Travel Tips', 'id': '950689877411'}",0.077,1.964
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.7,1.685,Fitness and Exercises,"{'name': 'Fitness and Exercises', 'id': '912503731943'}",0.629,1.435
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.7,1.685,Dancing,"{'name': 'Dancing', 'id': '952036629213'}",0.333,1.149
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.7,1.685,Outdoor Sport,"{'name': 'Outdoor Sport', 'id': '899504507492'}",0.275,1.137
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.7,1.685,Volleyball,"{'name': 'Volleyball', 'id': '935508392210'}",0.08,1.856
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.7,1.685,Soccer,"{'name': 'Soccer', 'id': '916147467802'}",0.076,0.391
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.7,1.685,Running,"{'name': 'Running', 'id': '909056984342'}",0.066,1.763
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.7,1.685,Softball,"{'name': 'Softball', 'id': '947303249077'}",0.019,
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.7,1.685,Cycling,"{'name': 'Cycling', 'id': '932527952341'}",0.012,0.27
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.7,1.685,Hockey,"{'name': 'Hockey', 'id': '949737144218'}",0.01,0.787
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.693,1.596,Holiday,"{'name': 'Holiday', 'id': '910319220330'}",0.907,1.047
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.693,1.596,Personal Celebration,"{'name': 'Personal Celebration', 'id': '944522520255'}",0.355,1.17
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.693,1.596,Gifts,"{'name': 'Gifts', 'id': '915305016791'}",0.296,0.99
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.693,1.596,Hosting Occasions,"{'name': 'Hosting Occasions', 'id': '945568894404'}",0.259,1.196
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.693,1.596,School Celebration,"{'name': 'School Celebration', 'id': '929052754772'}",0.026,0.804
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.64,1.714,Toys,"{'name': 'Toys', 'id': '957620480011'}",0.745,1.216
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.64,1.714,Baby,"{'name': 'Baby', 'id': '933995299235'}",0.53,1.082
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.64,1.714,Parenting Advice,"{'name': 'Parenting Advice', 'id': '953388819553'}",0.112,0.535
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.64,1.714,Family Activities,"{'name': 'Family Activities', 'id': '953318189801'}",0.107,1.29
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.64,1.714,Toddlers and Preschoolers,"{'name': 'Toddlers and Preschoolers', 'id': '936181027673'}",0.054,0.935
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.64,1.714,Childcare,"{'name': 'Childcare', 'id': '905929426912'}",0.028,1.985
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.578,1.534,Planting,"{'name': 'Planting', 'id': '916000423671'}",0.524,0.684
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.578,1.534,Garden Types,"{'name': 'Garden Types', 'id': '926108676086'}",0.115,1.025
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.578,1.534,Garden Design,"{'name': 'Garden Design', 'id': '901468450490'}",0.102,0.64
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.578,1.534,Gardening Supplies,"{'name': 'Gardening Supplies', 'id': '909773049272'}",0.07,2.364
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Cake,"{'name': 'Wedding Cake', 'id': '959317080636'}",0.436,1.307
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Outfit,"{'name': 'Wedding Outfit', 'id': '953811328161'}",0.237,0.685
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Beauty,"{'name': 'Wedding Beauty', 'id': '957409379399'}",0.193,0.767
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Decor,"{'name': 'Wedding Decor', 'id': '919736858270'}",0.184,0.685
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Theme,"{'name': 'Wedding Theme', 'id': '942351364884'}",0.137,1.328
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Jewelry and Accessories,"{'name': 'Wedding Jewelry and Accessories', 'id': '903419085548'}",0.126,0.946
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Event,"{'name': 'Wedding Event', 'id': '918730759391'}",0.106,0.705
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Photography and Videography,"{'name': 'Wedding Photography and Videography', 'id': '960441076276'}",0.105,0.849
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Stationery,"{'name': 'Wedding Stationery', 'id': '916276424875'}",0.092,0.511
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Favors and Gifts,"{'name': 'Wedding Favors and Gifts', 'id': '945051572260'}",0.024,0.554
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Music,"{'name': 'Wedding Music', 'id': '961190952284'}",0.011,
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.523,1.622,Wedding Planning,"{'name': 'Wedding Planning', 'id': '934072599341'}",0.01,0.516
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.508,1.203,Cell Phones and Accessories,"{'name': 'Cell Phones and Accessories', 'id': '951444910525'}",0.342,0.484
