Audience View,Date,Aggregation,Audience Size
Your total audience,2026-09-04,Monthly,199000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.502,1.771,Cars,"{'name': 'Cars', 'id': '950890153091'}",0.977,1.016
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.502,1.771,Auto Services and Repair,"{'name': 'Auto Services and Repair', 'id': '895341869140'}",0.092,1.96
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.502,1.771,Motorcycles and Scooter,"{'name': 'Motorcycles and Scooter', 'id': '927349329594'}",0.024,0.231
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.502,1.771,Aircraft,"{'name': 'Aircraft', 'id': '923340792367'}",0.016,0.254
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.502,1.771,Car and Motorcycle Design,"{'name': 'Car and Motorcycle Design', 'id': '896742500696'}",0.014,0.248
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.502,1.771,Watercraft,"{'name': 'Watercraft', 'id': '945927342064'}",0.013,0.42
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.494,1.544,Animals and Pet Supplies,"{'name': 'Animals and Pet Supplies', 'id': '903972677830'}",0.291,0.995
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.494,1.544,Mammals,"{'name': 'Mammals', 'id': '956932523301'}",0.16,0.741
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.494,1.544,Bird,"{'name': 'Bird', 'id': '952174338649'}",0.085,0.593
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.494,1.544,Arthropods,"{'name': 'Arthropods', 'id': '906756939414'}",0.017,0.305
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.494,1.544,Sealife,"{'name': 'Sealife', 'id': '900726038026'}",0.014,0.565
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.426,1.382,Architectural Style,"{'name': 'Architectural Style', 'id': '908797015303'}",0.488,0.737
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.426,1.382,Residential Architecture,"{'name': 'Residential Architecture', 'id': '917763335785'}",0.304,0.937
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.426,1.382,Landscape and Urbanism Architecture,"{'name': 'Landscape and Urbanism Architecture', 'id': '924770706928'}",0.216,0.953
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.426,1.382,Commercial and Office Architecture,"{'name': 'Commercial and Office Architecture', 'id': '958567870080'}",0.143,0.751
Finance,"{'name': 'Finance', 'id': '913207199297'}",0.241,4.712,Financial Planning,"{'name': 'Financial Planning', 'id': '922373956527'}",0.059,1.119
Finance,"{'name': 'Finance', 'id': '913207199297'}",0.241,4.712,Real Estate,"{'name': 'Real Estate', 'id': '961375696718'}",0.025,0.728
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.185,0.915,Men's Style,"{'name': ""Men's Style"", 'id': '903212673711'}",0.193,0.497
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.185,0.915,Men's Shirts and Top,"{'name': ""Men's Shirts and Top"", 'id': '912569390244'}",0.172,0.936
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.185,0.915,Men's Outfit by Occasions,"{'name': ""Men's Outfit by Occasions"", 'id': '954653184301'}",0.064,0.371
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.185,0.915,Men's Shoes,"{'name': ""Men's Shoes"", 'id': '925332366872'}",0.012,0.299
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.185,0.915,Men's Accessories,"{'name': ""Men's Accessories"", 'id': '958492379934'}",0.012,0.33
Children's Fashion,"{'name': ""Children's Fashion"", 'id': '903733943146'}",0.12,2.427,Teen Clothing,"{'name': 'Teen Clothing', 'id': '930262486893'}",0.44,1.4
